C5' 40.228 17.831 13.474
O5' 40.761 17.421 12.230
C4' 41.034 18.978 14.030
O4' 41.042 20.083 13.138
C3' 40.382 19.568 15.268
O3' 40.575 18.803 16.426
C2' 40.973 20.967 15.342
O2' 42.117 20.993 16.172
C1' 41.343 21.265 13.892
N1 36.760 23.458 xx.xxx
O1A 41.868 15.977 10.607
O1B 44.846 15.767 11.696
O1G 46.554 18.251 13.486
C2 37.057 22.401 13.740
O2A 40.573 14.911 12.597
O2B 44.015 18.092 12.214
O2G 47.012 16.440 15.214
N3 38.297 21.903 13.909
O3A 42.720 16.073 13.004
O3B 44.807 16.562 14.092
O3G 45.415 18.289 15.759
C4 39.267 22.569 13.244
C5 39.058 23.679 12.418
C6 37.744 24.121 12.264
